ID,Name,Link,City,Street,Opening,Postcode,Url Location,Wifi,Laptop Friendly,Pet Friendly,Latitude,Longitude
100,Raw Coffee,https://europeancoffeetrip.com/cafe/rawcoffee-leeds/,Leeds,10 Mill Hill,Monday - Friday: 07:30-16:00|Saturday: 08:30-17:00|Sunday: 10:00-15:00,LS1 5DQ,,,,Pet Friendly,53.795377386419695,-1.5456462795047883
101,Chill House Coffee,https://europeancoffeetrip.com/cafe/chillhousecoffee-london/,London,10 Shepherd St,Monday: 07:30-19:00|Tuesday: 07:30-19:00|Wednesday: 07:30-19:00|Thursday: 07:30-19:00|Friday: 07:30-22:00|Saturday: 08:00-19:00|Sunday: 08:00-18:00,W1J 7JE,,,,Pet Friendly,51.506302950000006,-0.14683284464715946
102,Sociable Folk,https://europeancoffeetrip.com/cafe/sociablefolk-leeds/,Leeds,10 Wellington Place,Monday: 07:00-15:00|Tuesday: 07:00-16:00|Wednesday: 07:00-16:00|Thursday: 07:00-16:00|Friday: 07:00-15:00|Saturday: Closed|Sunday: Closed,LS1 4JP,,,,,,
103,Greenhood Coffee,https://europeancoffeetrip.com/cafe/greenhoodscoffee-nottingham/,Nottingham,38 High Road,Monday - Friday: 09:00-17:00|Saturday: 09:00-17:00|Sunday: 10:00-16:00,NG9 2JP,,Free Wi-Fi,Laptop Friendly,Pet Friendly,52.92181525,-1.2222485934583345
104,Neighbourhood Café,https://europeancoffeetrip.com/cafe/neighbourhoodcafe-belfast/,Belfast,33 Donegall Street,Monday - Friday: 07:30-16:00|Saturday - Sunday: 08:30-17:00,BT1 2FG,,Free Wi-Fi,Laptop Friendly,Pet Friendly,,
105,Colonna & Small’S,https://europeancoffeetrip.com/cafe/colonnasmalls-london/,London,96a Leather Ln,Monday: 08:00-16:00|Tuesday: 07:30-16:00|Wednesday: 07:30-16:00|Thursday: 07:30-16:00|Friday: 08:00-16:00|Saturday: 09:00-16:00|Sunday: 10:00-16:00,EC1N 7TX,,,,,51.521895614171,-0.11029943188606108
106,Stokes Lawn Café,https://europeancoffeetrip.com/cafe/stokeslawncafe-lincoln/,Lincoln,The Lawn Union Rd ,Monday: 08:30-16:00|Tuesday: 08:30-16:00|Wednesday: 08:30-16:00|Thursday: 08:30-16:00|Friday: 08:30-20:30|Saturday: 08:30-20:30|Sunday: 09:00-16:00,LN1 3BU,,Free Wi-Fi,Laptop Friendly,Pet Friendly,53.2353653,-0.5431306
107,Nostos Coffee,https://europeancoffeetrip.com/cafe/nostoscoffee-orchad-london/,London,6 Orchard Pl,Monday - Friday: 07:30-17:00|Saturday: 08:30-17:00|Sunday: 09:30-16:30,SW1H 0BF,,,Laptop Friendly,Pet Friendly,51.498676957302806,-0.13311879152570788
108,Campbell And Syme,https://europeancoffeetrip.com/cafe/campbellandsyme-london/,London,9 Fortis Green East Finchley  N2 9JR,Monday - Friday: 08:00-15:00|Saturday: 09:00-16:00|Sunday: Closed,N2 9JR,,Free Wi-Fi,,Pet Friendly,51.5895,-0.16328
109,Leo’S Beanery,https://europeancoffeetrip.com/cafe/leosbeanery-edinburgh/,Edinburgh,23A Howe Street,Monday - Friday: 09:00-14:30|Saturday - Sunday: 09:30-14:30,EH3 6TF,,,,,55.95610246848046,-3.2021835612349387
110,High Coffee Bar,https://europeancoffeetrip.com/cafe/highcoffeebar-chester/,Chester,9 Rufus Court,Monday: 09:00-17:00|Tuesday: 09:00-17:00|Wednesday: 09:00-17:00|Thursday: 09:00-17:00|Friday: 09:00-16:00|Saturday: Closed|Sunday: 11:00-17:00,CH1 2JW,,Free Wi-Fi,Laptop Friendly,Pet Friendly,53.19372825000001,-2.8928156468858166
111,15Grams,https://europeancoffeetrip.com/cafe/15grams-london/,London,28 Greenwich Church St.,Monday - Friday: 08:00-16:00|Saturday - Sunday: 09:00-17:00,SE10 9BJ,,,,,51.48129145,-0.009728087997400171
112,Attendant,https://europeancoffeetrip.com/cafe/Attendant-london/,London,74 Great Eastern St  ,Monday: 08:00-16:00|Tuesday: 08:00-17:00|Wednesday: 08:00-17:00|Thursday: 08:00-17:00|Friday: 08:00-16:00|Saturday: 09:00-17:00|Sunday: 09:00-17:00,E C2A,,,,,,
113,Nine Hostages Coffee Co,https://europeancoffeetrip.com/cafe/ninehostagescoffeeco-derry/,Derry,2 Waterloo Street,Monday - Friday: 08:00-16:00|Saturday: 08:00-16:00|Sunday: 09:00-16:00,BT48 6HE,,Free Wi-Fi,Laptop Friendly,Pet Friendly,54.9963755,-7.3232162
114,Allpress Espresso Roastery Cafe,https://europeancoffeetrip.com/cafe/allpressespressoroasterycafe-london/,London,55 Dalston Ln  ,Monday - Friday: 08:00-16:00|Saturday - Sunday: 09:00-16:00,E8 2NG,,,,,51.5465815,-0.07039861419858662
115,Coffee Circus,https://europeancoffeetrip.com/cafe/Coffeecircus-london/,London,136 Crouch Hill  ,Monday - Friday: 08:00-18:00|Saturday: 08:00-18:00|Sunday: 09:00-18:00,N8 9DX,,,,,51.577918,-0.12342859196683814
116,Kapow Thorntons Arcade,https://europeancoffeetrip.com/cafe/kapowthorntonsarcade-leeds/,Leeds,15 Thorntons Arcade,Monday - Friday: 07:30-18:00|Saturday: 08:00-18:00|Sunday: 10:00-16:30,LS1 6LQ,,Free Wi-Fi,,Pet Friendly,53.79867505,-1.542780845
117,Kapow On The Calls,https://europeancoffeetrip.com/cafe/kapowthecalls-leeds/,Leeds,46 The Calls,Monday - Friday: 07:30-17:00|Saturday - Sunday: 09:00-17:00,LS2 7EY,,Free Wi-Fi,Laptop Friendly,Pet Friendly,53.7946855,-1.5378673
118,Saint Kitchen,https://europeancoffeetrip.com/cafe/saintkitchen-birmingham/,Birmingham,Unit 2 61a St Paul's Square,Monday - Friday: 08:00-17:00|Saturday: 09:00-17:00|Sunday: 10:00-16:00,B3 1QS,,,,,52.48454114444444,-1.9059003444444444
119,Blend Coffee Co.,https://europeancoffeetrip.com/cafe/blendcoffeeco-worthing/,Worthing,63 Rowlands Rd ,Monday - Friday: 08:00-16:00|Saturday: 08:00-16:00|Sunday: 09:00-16:00,BN11 3JN,,Free Wi-Fi,Laptop Friendly,Pet Friendly,50.8099097,-0.381434
120,Batch Baby,https://europeancoffeetrip.com/cafe/batchbaby-london/,London,43 De Beauvoir Road,Monday - Friday: 07:30-17:00|Saturday: 08:30-17:00|Sunday: 09:00-16:00,N1 5SF,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.5389956,-0.08156988717793506
121,Hagen Espresso Bar,https://europeancoffeetrip.com/cafe/hagenespressobar-london/,London,151 King's Road,Monday - Friday: 07:00-18:00|Saturday - Sunday: 08:00-18:00,SW3 5TX,,,,,51.487907,-0.1672832
122,Mow'S Coffee,https://europeancoffeetrip.com/cafe/mowscoffee-sheffield/,Sheffield,151 Arundel Street,Monday - Friday: 08:00-17:00|Saturday: 09:00-17:00|Sunday: 09:00-16:00,S1 2NU,,,Laptop Friendly,Pet Friendly,53.377312388306365,-1.467827674965157
123,Coffee On The Crescent,https://europeancoffeetrip.com/cafe/coffeeonthecrescent-leeds/,Leeds,2 The Crescent,Monday - Friday: 08:00-16:30|Saturday: 08:30-16:30|Sunday: 09:00-16:30,LS6 2NW,,,,,53.8144721,-1.5610327
124,Coffee @ 33,https://europeancoffeetrip.com/cafe/coffeeat33-brighton/,Brighton,33 Trafalgar Street,Monday - Friday: 08:30-15:00|Saturday: 09:00-16:00|Sunday: 10:00-15:00,BN1 4ED,,,,,50.8282841,-0.1388556
125,Komodo Coffee,https://europeancoffeetrip.com/cafe/komodocoffee-brighton/,Brighton,19a  Square,Monday - Friday: 08:00-16:00|Saturday - Sunday: 09:00-17:00,BN1 1HD,,,,Pet Friendly,50.82192993333333,-0.14034726666666666
126,Beacon Coffee,https://europeancoffeetrip.com/cafe/beaconcoffee-cornwall/,Cornwall,28A High St,Monday: 08:30-14:30|Tuesday: 08:30-14:30|Wednesday: 08:30-14:30|Thursday: 08:30-14:30|Friday: 08:30-15:30|Saturday: 08:30-15:30|Sunday: Closed,TR11 2AD,,Free Wi-Fi,Laptop Friendly,Pet Friendly,50.1566829,-5.0713304
127,Trait Coffee,https://europeancoffeetrip.com/cafe/traitcoffee-comber/,Comber,33 Castle Street,Monday - Friday: 08:00-15:00|Saturday - Sunday: 08:00-15:00,BT23 5TF,,,,,,
128,Fika North Coffee,https://europeancoffeetrip.com/cafe/fikanorthcoffee-leeds/,Leeds,94 Otley Road,Monday - Friday: 08:00-17:00|Saturday - Sunday: 09:00-17:00,LS6 4BA,,,,,53.82755215,-1.5823942000000013
129,Tanifiki Coffee Bar,https://europeancoffeetrip.com/cafe/tanifikicoffeebar-edinburgh/,Edinburgh,44 Portobello High St Portobello ,Monday - Friday: 09:00-17:00|Saturday: 09:00-18:00|Sunday: 09:00-17:00,EH15 1DA,,Free Wi-Fi,Laptop Friendly,Pet Friendly,55.9550776,-3.1176682
130,Kaffeine,https://europeancoffeetrip.com/cafe/kaffeine-london/,London,66 Great Titchfield St Fitzrovia,Monday - Friday: 07:30-17:00|Saturday: 08:30-17:00|Sunday: 09:00-17:00,W1W 7QJ,,,Laptop Friendly,,51.51847,-0.14036
131,Kerb Kollective,https://europeancoffeetrip.com/cafe/kerbcollective-cambridge/,Cambridge, Museum of Technology,Monday: 08:00-15:00|Tuesday: 08:00-15:00|Wednesday: 08:00-15:00|Thursday: 08:00-15:00|Friday: 08:00-16:00|Saturday: 09:00-16:00|Sunday: 09:00-16:00,CB5 8HN,,Free Wi-Fi,Laptop Friendly,Pet Friendly,52.21247365,0.14366592163616793
132,Heirloom,https://europeancoffeetrip.com/cafe/heirloom-edlesborough/,Edlesborough,14 High Street,Monday: Closed|Tuesday: 09:00-16:00|Wednesday: 09:00-16:00|Thursday: 09:00-16:00|Friday: 09:00-16:00|Saturday: 09:00-16:00|Sunday: Closed,LU6 2HS,,,,,51.8685744,-0.5847656
133,The Coffee Traveller,https://europeancoffeetrip.com/cafe/thecoffeetraveller-london/,London,58 Thames Rd Chiswick,Monday - Friday: 07:00-17:00|Saturday - Sunday: 08:00-17:00,W4 3RE,,,,,51.4866298,-0.28083505
134,Garage Coffee,https://europeancoffeetrip.com/cafe/garagecoffee-canterbury/,Canterbury, England ,Monday - Friday: 09:00-17:00|Saturday: 09:00-17:00|Sunday: 10:00-16:00,CT1 2HX,,,,,51.2836964,1.0828699036339895
135,Guillam Coffee House,https://europeancoffeetrip.com/cafe/gulliamcoffeehouse-gloucester-london/,London,24 Gloucester Road,Monday - Friday: 07:30-17:00|Saturday - Sunday: 07:30-18:00,SW7 4RB,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.4989914,-0.183892
136,The Pocket,https://europeancoffeetrip.com/cafe/thepocket-belfast/,Belfast,68 Upper Church Ln.,Monday: 08:00-15:00|Tuesday: 08:00-15:00|Wednesday: 08:00-15:00|Thursday: 08:00-15:00|Friday: 08:00-16:00|Saturday: 08:00-17:00|Sunday: 08:30-16:00,BT1 4LG,,,,,54.5987905,-5.9243577
137,Coffee Under Pressure | Speciality Coffee & Tea,https://europeancoffeetrip.com/cafe/coffeeunderpressure-bristol/,Bristol,76 Park Street,Monday - Friday: 09:00-17:00|Saturday - Sunday: 09:00-17:00,BS1 5LB,,,,,,
138,Watchhouse Spitalfields,https://europeancoffeetrip.com/cafe/watchhousespitalfields-london/,London,139 Commercial Street,Monday - Friday: 07:30-17:00|Saturday - Sunday: 08:00-18:00,E1 6BJ,,,,,51.5209027,-0.0752626
139,Kings,https://europeancoffeetrip.com/cafe/kingscoffee-dumfries/,Dumfries,12 Queensberry St,Monday - Friday: 09:30-17:00|Saturday: 09:30-17:00|Sunday: Closed,DG1 1EX,,Free Wi-Fi,Laptop Friendly,Pet Friendly,55.06829545815532,-3.610063837466837
140,Amoret,https://europeancoffeetrip.com/cafe/amoret-london/,London,53 Pembridge Road,Monday - Friday: 08:00-16:00|Saturday: 09:00-16:30|Sunday: 10:00-16:00,W11 3HG,,,,,51.51078605,-0.19765787454969752
142,Iron & Fire,https://europeancoffeetrip.com/cafe/ironandfire-shrewsbury/,Shrewsbury,Station Approach,Monday - Friday: 06:30-17:00|Saturday: 07:00-17:00|Sunday: 08:30-17:00,SY1 2AA,,Free Wi-Fi,Laptop Friendly,Pet Friendly,,
143,Bob'S Your Uncle,https://europeancoffeetrip.com/cafe/bobsyouruncle-london/,Croydon,2 Selsdon Road,Monday - Friday: 07:30-16:00|Saturday - Sunday: 08:00-16:00,CR2 6PA,,Free Wi-Fi,,Pet Friendly,51.3634739,-0.09786651268792282
144,Soroast,https://europeancoffeetrip.com/cafe/soroast-southampon/,Southampton,5 Cobden Avenue,Monday: Closed|Tuesday: Closed|Wednesday: 08:00-13:00|Thursday: 08:00-13:00|Friday: 08:00-13:00|Saturday: 09:00-16:00|Sunday: 09:00-14:00,SO18 1DZ,,,,Pet Friendly,50.9239746,-1.375468756768559
145,Birch,https://europeancoffeetrip.com/cafe/birch-portree/,Portree,Bayfield rd,Monday - Friday: 08:00-16:00|Saturday - Sunday: 08:00-16:00,IV51 9EL,,,,,57.412605598182004,-6.193417631278531
146,The Milkman,https://europeancoffeetrip.com/cafe/themilkman-edinburgh/,Edinburgh,7 Cockburn St,Monday - Friday: 08:00-17:00|Saturday: 08:00-17:00|Sunday: 09:00-17:00,EH1 1BP,,Free Wi-Fi,Laptop Friendly,Pet Friendly,55.9507045,-3.1908901
147,Cross Street Union,https://europeancoffeetrip.com/cafe/crossstreetunion-holt/,Holt,Cross Street,Monday - Friday: 08:00-14:00|Saturday: 08:00-14:00|Sunday: Closed,NR25 6HZ,,,,Pet Friendly,52.9068331,1.0873234
148,Watchhouse St. Mary Axe,https://europeancoffeetrip.com/cafe/watchhousestmaryaxe-london/,London,70 Saint Mary Axe,Monday: 07:30-17:00|Tuesday: 07:30-17:00|Wednesday: 07:30-17:00|Thursday: 07:30-17:00|Friday: 07:30-16:00|Saturday: Closed|Sunday: Closed,EC3A 8BE,,,,,51.51537075,-0.07933540625737012
149,Federal Cafe Bar,https://europeancoffeetrip.com/cafe/federal-manchester/,Manchester,9 Nicholas Croft,Monday - Friday: 07:30-16:00|Saturday - Sunday: 08:00-17:00,M4 1EY,,,,,53.4842432,-2.2384454
150,Rosslyn Coffee Tower 42,https://europeancoffeetrip.com/cafe/rosslyncoffeetower-london/,London,25 Old Broad Street,Monday - Friday: 06:30-17:00|Saturday - Sunday: Closed,EC2N 1HQ,,,,Pet Friendly,51.51521655,-0.08387807611747117
151,Kofra,https://europeancoffeetrip.com/cafe/kofra-upperst-norwich/,Norwich,81 Upper St Giles Street,Monday - Friday: 07:30-17:00|Saturday: 08:00-17:00|Sunday: 09:00-17:00,NR2 1AB,,,,,52.6293989,1.2863582
152,Rosslyn Coffee London Wall,https://europeancoffeetrip.com/cafe/rosslyncoffee-londonwall-london/,London,118  Wall,Monday - Friday: 06:30-17:00|Saturday - Sunday: Closed,EC2Y 5JA,,,,Pet Friendly,51.51766,-0.08891
153,Omotesando,https://europeancoffeetrip.com/cafe/omotesando-london/,London,8 Newman Street,Monday - Friday: 08:00-18:00|Saturday - Sunday: 09:00-18:00,W1T 1PB,,,,,51.5165946,-0.1347909
154,The Wildcat,https://europeancoffeetrip.com/cafe/thewildcat-fortwilliam/,Fort William,21 High Street,Monday - Friday: 09:00-16:00|Saturday - Sunday: 09:00-16:00,PH33 6DH,,,,,56.8183452,-5.1106502
156,Paradox Design + Coffee,https://europeancoffeetrip.com/cafe/paradox-london/,London,Unit A Market Netil House 13 - 23 Westgate St ,Monday - Friday: 08:30-15:00|Saturday: 09:00-16:00|Sunday: 09:30-16:00,E8 3RL,,,,Pet Friendly,51.53754406666667,-0.058607266666666664
157,Society Café Bristol,https://europeancoffeetrip.com/cafe/societycafebristol-bristol/,Bristol,Farrs Lane Narrow Quay,Monday - Friday: 07:30-17:30|Saturday - Sunday: 09:00-18:00,BS1 4BB,,,,,51.44989335,-2.59726085
158,Cafe Coho (Ship Street),https://europeancoffeetrip.com/cafe/cafecoho-brighton/,Brighton,53 Ship Street,Monday - Friday: 07:00-18:30|Saturday - Sunday: 07:00-18:30,BN1 1AF,,,,,50.82242655,-0.14149399333571402
159,Hoxton Bakehouse Co.,https://europeancoffeetrip.com/cafe/hoxtonbakehouseco-winchester/,Winchester,40 Jewry St,Monday - Friday: 08:00-16:00|Saturday: 08:00-16:00|Sunday: 08:00-15:00,SO23 8RY,,,,,51.06422763657342,-1.3159449508203724
160,Intermission,https://europeancoffeetrip.com/cafe/intermission-london/,London,"Unit 2 The Hardy Building Heritage Ln,",Monday - Friday: 07:00-16:00|Saturday: 08:00-17:00|Sunday: 09:00-16:00,NW6 2BR,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.54721,-0.1913903
161,Page Common Coffeehouse,https://europeancoffeetrip.com/cafe/pagecommoncoffeehouse-london/,London,8 Saint Martin's Place,Monday - Friday: 07:30-18:00|Saturday - Sunday: 07:30-18:00,WC2N 4JH,,Free Wi-Fi,Laptop Friendly,,51.5089444,-0.12669896
162,Sibling,https://europeancoffeetrip.com/cafe/sibling-cardiff/,Cardiff,39 Lochaber Street,Monday: 08:00-16:00|Tuesday: 08:00-16:00|Wednesday: 08:00-16:00|Thursday: 08:00-16:00|Friday: 08:00-20:00|Saturday: 09:00-20:00|Sunday: Closed,CF24 3LS,,Free Wi-Fi,,Pet Friendly,51.495665849999995,-3.167561996555318
164,Nagare Coffee,https://europeancoffeetrip.com/cafe/nagare-london/,London,Ground Floor 40 Brushfield St ,Monday - Friday: 08:00-16:30|Saturday - Sunday: 09:00-17:00,E1 6AG,,,,Pet Friendly,51.51894015,-0.07664596666666666
165,The Milkman,https://europeancoffeetrip.com/cafe/themilkman52-edinburgh/,Edinburgh,52 Cockburn St,Monday - Friday: 07:00-17:00|Saturday: 07:00-17:00|Sunday: 08:00-17:00,EH1 1PB,,,,,55.9503968,-3.1885065
166,North Star Coffee Shop,https://europeancoffeetrip.com/cafe/northstarcoffeeshop-leeds/,Leeds,Unit 32 The Boulevard ,Monday - Friday: 08:00-15:00|Saturday - Sunday: 09:00-16:00,LS10 1PZ,,,,,53.790636768372025,-1.5321081570573112
167,Small Street Espresso,https://europeancoffeetrip.com/cafe/smallstreetespresso-bristol/,Bristol,23 Small St,Monday - Friday: 08:00-15:00|Saturday - Sunday: Closed,BS1 1DW,,,,,51.45487945,-2.594277817554709
168,Jimmy And The Bee,https://europeancoffeetrip.com/cafe/jimmyandthebee-london/,London,135 Goswell Road,Monday - Friday: 08:00-18:00|Saturday: 08:00-18:00|Sunday: 09:00-18:00,EC1V 7JY,,,,,51.52632975,-0.10033865
169,Milk,https://europeancoffeetrip.com/cafe/milk-london/,London,18-20 Bedford Hill,Monday - Friday: 08:00-15:30|Saturday: 08:00-16:00|Sunday: 09:00-16:00,SW12 9RG,,,,,51.4379101759619,-0.1469904462226805
170,Missing Bean Roastery,https://europeancoffeetrip.com/cafe/missingbean-roastery-oxford/,Oxford,66-72 Magdalen Rd,Monday - Friday: 08:00-16:00|Saturday - Sunday: 09:00-16:00,OX4 1RE,,,,,51.74388884410105,-1.2318165236200693
171,Special Guests,https://europeancoffeetrip.com/cafe/specialguests-london/,London,8 Aybrook St,Monday - Friday: 07:30-17:00|Saturday - Sunday: 08:00-16:00,W1U 4AW,,,,,51.51930215,-0.15303265
172,Saint Espresso,https://europeancoffeetrip.com/cafe/saintespresso-london/,London,"Angel House 26 Pentonville Rd,",Monday - Friday: 07:30-17:00|Saturday - Sunday: 08:30-17:00,N1 9HJ,,,,,51.5319905,-0.1078261
173,Pharmacie Coffee Roasters,https://europeancoffeetrip.com/cafe/pharmaciecoffeeroasters-lewes/,Lewes,11 Cliffe Industrial Est,Monday - Friday: 08:00-15:00|Saturday - Sunday: 09:00-15:00,BN8 6JL,,,,,50.86856155,0.0251911
174,Simba Bru Coffee,https://europeancoffeetrip.com/cafe/simbrabrewcoffee-london/,Watford,61A Sutton Road,Monday - Friday: 08:00-16:00|Saturday - Sunday: 09:00-16:00,WD17 2QE,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.65761342895331,-0.3948341061208375
175,Stage Espresso & Brewbar,https://europeancoffeetrip.com/cafe/stagecoffee-leeds/,Leeds,41 Great George Street,Monday - Friday: 08:00-15:30|Saturday - Sunday: Closed,LS1 3BB,,Free Wi-Fi,,Pet Friendly,53.800817,-1.5509139
176,Robin Craft Cafe,https://europeancoffeetrip.com/cafe/robincraftcafe-london/,London,38 Sheen Lane,Monday - Friday: 08:00-16:00|Saturday - Sunday: 09:00-16:00,SW14 8LW,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.4667185,-0.2669840845542092
177,Rosslyn Coffee Queen Victoria Street,https://europeancoffeetrip.com/cafe/rosslyncoffee-london/,London,78 Queen Victoria Street,Monday - Friday: 06:30-17:00|Saturday: 08:00-16:00|Sunday: Closed,EC4N 4SJ,,,,Pet Friendly,51.512557799999996,-0.09360606933945229
178,The Common Beaver,https://europeancoffeetrip.com/cafe/thecommonbeaver-exeter/,Exeter,59 Magdalen Road,Monday - Friday: 07:30-16:00|Saturday: 08:00-16:00|Sunday: 09:00-15:00,EX2 4TA,,,,,50.7211141,-3.5204496
179,Ginger & White,https://europeancoffeetrip.com/cafe/gingerwhite-london/,London,5a Perrin's Court,Monday - Friday: 07:30-17:30|Saturday: 07:30-18:00|Sunday: 08:00-18:00,NW3 1QS,,,,,51.55582655,-0.17730465
180,Lost Sheep Coffee,https://europeancoffeetrip.com/cafe/lostsheepcoffee-canterbury/,Canterbury,St George's Ln (bus station),Monday - Friday: 07:30-17:30|Saturday: 07:30-17:30|Sunday: Closed,CT1 2SY,,,,,51.27670706666667,1.0826537333333335
181,The Little Man,https://europeancoffeetrip.com/cafe/thelittleman-cardiff/,Cardiff,Bridge Street,Monday - Friday: 07:45-18:00|Saturday: 07:45-18:00|Sunday: 08:30-16:00,CF10 2EE,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.479921822348416,-3.1725354742175695
182,Chairs And Coffee,https://europeancoffeetrip.com/cafe/chairsandcoffee-london/,London,512 Fulham Road,Monday: 08:00-15:00|Tuesday: 08:00-22:00|Wednesday: 08:00-22:00|Thursday: 08:00-22:00|Friday: 08:00-22:00|Saturday: 08:00-22:00|Sunday: 08:00-22:00,SW6 5NJ,,,,,51.4797566,-0.1990004
183,Society Café The Corridor,https://europeancoffeetrip.com/cafe/societycafethecorridor-bath/,Bath,19 High Street The Corridor,Monday - Friday: 08:00-17:00|Saturday - Sunday: 09:00-18:00,BA1 5AJ,,,,,51.38242276666667,-2.3594288666666667
184,Jaunty Goat,https://europeancoffeetrip.com/cafe/jauntygoat-chester/,Chester,57 Bridge St.,Monday - Friday: 08:00-18:00|Saturday: 08:00-18:00|Sunday: 09:00-18:00,CH1 1NG,,Free Wi-Fi,Laptop Friendly,Pet Friendly,53.1889818,-2.8909953
185,Strangers Coffee,https://europeancoffeetrip.com/cafe/strangerscoffee/,Norwich,21 Pottergate,Monday - Friday: 08:30-16:30|Saturday: 08:30-16:30|Sunday: 09:00-15:00, NR2,,,,,,
186,Spitfire Espresso,https://europeancoffeetrip.com/cafe/spitfireespresso-glasgow/,Glasgow,127 Candleriggs,Monday: 08:00-17:00|Tuesday: 08:00-17:00|Wednesday: 08:00-17:00|Thursday: 08:00-17:00|Friday: 08:00-18:00|Saturday: 08:00-18:00|Sunday: 08:00-17:00,G1 1NP,,,,,55.8593965,-4.245343
187,Frequency,https://europeancoffeetrip.com/cafe/frequency-london/,London,121 Kings Cross Road,Monday - Friday: 08:00-16:00|Saturday - Sunday: Closed,WC1X 9NH,,,,,51.5291532,-0.115924
188,Lumberjack,https://europeancoffeetrip.com/cafe/lumberjack-london/,London,70 Camberwell Church Street,Monday - Friday: 07:30-16:30|Saturday - Sunday: 09:00-17:00,SE5 8QZ,,Free Wi-Fi,,Pet Friendly,51.47345195,-0.08825190000000051
189,Watchhouse Roastery & Cafe,https://europeancoffeetrip.com/cafe/watchhouse-roasterybakery-london/,London,36 Maltby Street,Monday - Friday: 07:30-16:30|Saturday - Sunday: 08:30-17:30,SE1 3PA,,,,,51.4997643,-0.0764345
190,Coffee Rustler,https://europeancoffeetrip.com/cafe/coffeerustler-unitedkingdom/,Bangor,30 Central Avenue,Monday - Friday: 08:00-16:00|Saturday - Sunday: 08:00-16:00,BT20 3AF,,Free Wi-Fi,Laptop Friendly,Pet Friendly,,
191,Brew,https://europeancoffeetrip.com/cafe/brew-lancaster/,Lancaster,18a Brock St,Monday - Friday: 08:30-16:00|Saturday: 09:00-16:00|Sunday: 10:00-16:00,LA1 1UU,,Free Wi-Fi,Laptop Friendly,Pet Friendly,54.0473932,-2.7985602
192,Coffi,https://europeancoffeetrip.com/cafe/coffi-liverpool/,Liverpool,8 Pilgrim Street,Monday - Friday: 08:00-16:00|Saturday: 09:00-16:00|Sunday: 10:00-16:00,L1 9HB,,Free Wi-Fi,Laptop Friendly,Pet Friendly,53.40037634606629,-2.9727541259533647
193,Caravan Coffee Roasters At The Savoy,https://europeancoffeetrip.com/cafe/caravancoffeeroasters-savoy-london/,London,Unit 1 Savoy Court Strand,Monday - Friday: 08:00-16:00|Saturday - Sunday: Closed,WC2R 0EX,,,,,51.51053,-0.12089
194,The Copper Lab Coffee,https://europeancoffeetrip.com/cafe/thecopperlabcoffee-banbridge/,Banbridge,53 Bridge St ,Monday: Closed|Tuesday: 08:30-16:00|Wednesday: 08:30-16:00|Thursday: 08:30-16:00|Friday: 08:30-16:00|Saturday: 09:00-16:00|Sunday: Closed,BT32 3JL,,Free Wi-Fi,Laptop Friendly,,54.34928342195828,-6.269575159092611
195,Machina Coffee,https://europeancoffeetrip.com/cafe/machinacoffee-edinburgh/,Edinburgh,38 Marchmont Rd,Monday - Friday: 07:30-15:00|Saturday - Sunday: 08:00-16:00,EH9 1HX,,Free Wi-Fi,Laptop Friendly,Pet Friendly,55.9380832,-3.1950793
196,Blend Coffee Co. - Portslade,https://europeancoffeetrip.com/cafe/blendcoffeeco-portslade-brighton/,Brighton,32 Station Rd Portslade  and Hove ,Monday: 08:00-16:00|Tuesday: 08:00-16:00|Wednesday: 08:00-16:00|Thursday: 08:00-16:00|Friday: 08:00-16:30|Saturday: 08:00-16:30|Sunday: 09:00-16:00,BN41 1GB,,Free Wi-Fi,Laptop Friendly,Pet Friendly,50.83373258,-0.20726016
197,Braw Brunch,https://europeancoffeetrip.com/cafe/brawbrunch-edinburgh/,Edinburgh,3 East Fountainbridge,Monday - Friday: 07:30-15:00|Saturday - Sunday: 07:30-16:00,EH3 9BH,,Free Wi-Fi,Laptop Friendly,Pet Friendly,55.9452585746562,-3.2038288709477802
198,The Espresso Room,https://europeancoffeetrip.com/cafe/theespressoroom-london/,London,31-35 Great Ormond Street,Monday - Friday: 07:30-16:00|Saturday - Sunday: Closed,WC1N 3HZ,,,,,51.5219302,-0.1198046
199,Foodstory,https://europeancoffeetrip.com/cafe/foodstory-aberdeen/,Aberdeen,13 - 15 Thistle Street,Monday: 08:00-17:00|Tuesday: 08:00-20:00|Wednesday: 08:00-20:00|Thursday: 08:00-20:00|Friday: 08:00-17:00|Saturday: 08:00-17:00|Sunday: 08:00-17:00,AB10 1UA,,Free Wi-Fi,,Pet Friendly,57.1439329,-2.1106675
200,Browns Of Brockley,https://europeancoffeetrip.com/cafe/Brownsofbrockley-london/,London,5 Coulgate St Brockley  ,Monday - Friday: 08:00-14:00|Saturday - Sunday: 08:00-14:00,SE4 2RW,,,,,51.46440771666667,-0.03711671666666667
